,Cluster,driver_type,driver
0,0,Driver 1,24
1,1,Driver 1,2
2,2,Driver 1,44
3,3,Driver 1,81
4,4,Driver 1,1
5,5,Driver 1,10
6,6,Driver 1,55
7,7,Driver 1,18
8,8,Driver 1,31
9,9,Driver 1,4
10,0,Driver 2,11
11,1,Driver 2,16
12,2,Driver 2,63
13,3,Driver 2,27
14,4,Driver 2,20
15,5,Driver 2,21
16,6,Driver 2,22
17,7,Driver 2,77
18,8,Driver 2,23
19,9,Driver 2,14
