,Cluster,driver_type,driver
0,0,Driver 1,4
1,1,Driver 1,55
2,2,Driver 1,31
3,3,Driver 1,24
4,4,Driver 1,20
5,5,Driver 1,21
6,6,Driver 1,1
7,7,Driver 1,22
8,8,Driver 1,14
9,9,Driver 1,27
10,0,Driver 2,11
11,1,Driver 2,63
12,2,Driver 2,18
13,3,Driver 2,16
14,4,Driver 2,44
15,5,Driver 2,2
16,6,Driver 2,77
17,7,Driver 2,10
18,8,Driver 2,81
19,9,Driver 2,23
