,Cluster,driver_type,driver
0,0,Driver 1,23
1,1,Driver 1,4
2,2,Driver 1,27
3,3,Driver 1,63
4,4,Driver 1,14
5,5,Driver 1,1
6,6,Driver 1,24
7,7,Driver 1,44
8,8,Driver 1,11
9,9,Driver 1,16
10,0,Driver 2,31
11,1,Driver 2,2
12,2,Driver 2,81
13,3,Driver 2,18
14,4,Driver 2,22
15,5,Driver 2,21
16,6,Driver 2,77
17,7,Driver 2,20
18,8,Driver 2,55
19,9,Driver 2,10
