driver-pairs,distance
"(1, '18', '4')",9643.537187735295
"(1, '18', '40')",17133.593286531537
"(1, '18', '44')",14140.684158480914
"(1, '18', '20')",3695.190762842974
"(1, '18', '55')",13143.44281722225
"(1, '18', '1')",11159.545739831641
"(1, '18', '14')",11669.379468279854
"(1, '18', '31')",12975.83557731966
"(1, '18', '11')",11968.041156742554
"(1, '18', '27')",12819.461001609077
"(1, '18', '77')",12944.396137208023
"(1, '18', '2')",11326.87795903637
"(1, '18', '63')",13380.017821642963
"(1, '18', '10')",9585.200334504334
"(1, '18', '24')",9311.495604047668
"(1, '18', '23')",12296.67436622296
"(1, '18', '16')",10403.574907078355
"(1, '18', '81')",13626.08756998761
"(1, '4', '18')",3099.6827138450767
"(1, '4', '40')",2926.776247287861
"(1, '4', '44')",5486.757893121039
"(1, '4', '20')",3218.36888870476
"(1, '4', '55')",11021.594454951153
"(1, '4', '1')",9025.344853439296
"(1, '4', '14')",3447.8100796802673
"(1, '4', '31')",3475.4707710411876
"(1, '4', '11')",15053.58937529156
"(1, '4', '27')",3555.568782966707
"(1, '4', '77')",3615.291324390076
"(1, '4', '2')",4024.3118322283954
"(1, '4', '63')",7175.994809091268
"(1, '4', '10')",4136.961843725717
"(1, '4', '24')",4153.007172114844
"(1, '4', '23')",7661.9869442048
"(1, '4', '16')",7490.729084024651
"(1, '4', '81')",18572.79405839892
"(1, '40', '18')",2668.6613074601414
"(1, '40', '4')",14148.96530190225
"(1, '40', '44')",16195.845485529797
"(1, '40', '20')",3017.7488320946973
"(1, '40', '55')",8818.059508070108
"(1, '40', '1')",10531.365167384483
"(1, '40', '14')",8148.53522301213
"(1, '40', '31')",2684.835449111806
"(1, '40', '11')",7506.197099013828
"(1, '40', '27')",2326.7478737495194
"(1, '40', '77')",1709.74751090255
"(1, '40', '2')",2593.8929397793495
"(1, '40', '63')",7487.939459842286
"(1, '40', '10')",2787.496449128769
"(1, '40', '24')",2431.4831636060453
"(1, '40', '23')",11346.905349867682
"(1, '40', '16')",7604.962209014659
"(1, '40', '81')",14811.243811827148
"(1, '44', '18')",3569.566462491351
"(1, '44', '4')",2900.3510394343243
"(1, '44', '40')",4200.466999227013
"(1, '44', '20')",3487.7220422182468
"(1, '44', '55')",10329.667419361864
"(1, '44', '1')",9552.588640981083
"(1, '44', '14')",3693.2621885551384
"(1, '44', '31')",3213.8120771011713
"(1, '44', '11')",13438.891975963092
"(1, '44', '27')",3582.59557386174
"(1, '44', '77')",3791.096042976259
"(1, '44', '2')",4156.504774488739
"(1, '44', '63')",7372.409686850341
"(1, '44', '10')",4304.911988384397
"(1, '44', '24')",3649.7818558423282
"(1, '44', '23')",7418.5741261489475
"(1, '44', '16')",8609.496669038297
"(1, '44', '81')",18317.702117870198
"(1, '20', '18')",6134.226923139275
"(1, '20', '4')",13180.434340357824
"(1, '20', '40')",13478.393196547475
"(1, '20', '44')",10019.866121079018
"(1, '20', '55')",12851.181565953917
"(1, '20', '1')",12690.408350612042
"(1, '20', '14')",12708.34865448139
"(1, '20', '31')",18170.044218376363
"(1, '20', '11')",10653.843259327796
"(1, '20', '27')",11995.501864656411
"(1, '20', '77')",12460.654058760609
"(1, '20', '2')",17949.304556492127
"(1, '20', '63')",13202.627618161665
"(1, '20', '10')",9884.264839941234
"(1, '20', '24')",13948.640719682744
"(1, '20', '23')",13363.44759868945
"(1, '20', '16')",10700.736446793659
"(1, '20', '81')",11734.770658238702
"(1, '55', '18')",2466.1204912145745
"(1, '55', '4')",3468.6656207662018
"(1, '55', '40')",4348.6980709423415
"(1, '55', '44')",4377.756272332405
"(1, '55', '20')",2414.642344484716
"(1, '55', '1')",6998.010469985024
"(1, '55', '14')",3331.281061552326
"(1, '55', '31')",5223.249992868281
"(1, '55', '11')",3064.323082041263
"(1, '55', '27')",4232.807425627709
"(1, '55', '77')",4368.182815165358
"(1, '55', '2')",4493.941633951826
"(1, '55', '63')",3155.244504172819
"(1, '55', '10')",5256.570395314822
"(1, '55', '24')",5564.022574104586
"(1, '55', '23')",4240.740332550118
"(1, '55', '16')",2545.425637132231
"(1, '55', '81')",4033.719837173357
"(1, '1', '18')",2360.272939517098
"(1, '1', '4')",2943.4598247009867
"(1, '1', '40')",4267.315307159398
"(1, '1', '44')",3993.2723693521107
"(1, '1', '20')",2258.792870555667
"(1, '1', '55')",2250.429313591346
"(1, '1', '14')",3158.3902567966943
"(1, '1', '31')",4947.57035170893
"(1, '1', '11')",3062.8736610393835
"(1, '1', '27')",3343.955197830816
"(1, '1', '77')",3411.950863142215
"(1, '1', '2')",4485.208960166094
"(1, '1', '63')",2870.8378797247856
"(1, '1', '10')",6982.987498373228
"(1, '1', '24')",4899.700696595564
"(1, '1', '23')",5072.9692023951875
"(1, '1', '16')",2337.863739946766
"(1, '1', '81')",4220.966471008452
"(1, '14', '18')",2613.726057442465
"(1, '14', '4')",13965.547893005747
"(1, '14', '40')",2960.1838650942054
"(1, '14', '44')",14699.809257025716
"(1, '14', '20')",2672.5602476801555
"(1, '14', '55')",8471.149125161965
"(1, '14', '1')",9590.09129033775
"(1, '14', '31')",4371.520654536613
"(1, '14', '11')",10573.974648869034
"(1, '14', '27')",2803.7394012024274
"(1, '14', '77')",2561.7449348765426
"(1, '14', '2')",2587.888068737457
"(1, '14', '63')",4653.115412965516
"(1, '14', '10')",3380.8740129208554
"(1, '14', '24')",2987.39274192656
"(1, '14', '23')",12858.078806610796
"(1, '14', '16')",11048.849667490838
"(1, '14', '81')",14333.026417578953
"(1, '31', '18')",2499.283349678836
"(1, '31', '4')",10666.757738088312
"(1, '31', '40')",11846.705358546336
"(1, '31', '44')",5281.948243790524
"(1, '31', '20')",2306.097848995004
"(1, '31', '55')",10464.473683055548
"(1, '31', '1')",11122.190540833632
"(1, '31', '14')",9474.451268709287
"(1, '31', '11')",13382.353094837803
"(1, '31', '27')",9881.98431987733
"(1, '31', '77')",6059.847452841578
"(1, '31', '2')",10357.400456052892
"(1, '31', '63')",8855.024838819978
"(1, '31', '10')",7873.047982330134
"(1, '31', '24')",25815.49997295743
"(1, '31', '23')",10894.044366784223
"(1, '31', '16')",13783.544620370782
"(1, '31', '81')",13886.26095296214
"(1, '11', '18')",5223.606919454833
"(1, '11', '4')",3997.009654409086
"(1, '11', '40')",4690.862138425313
"(1, '11', '44')",5340.032761999098
"(1, '11', '20')",4840.323379146111
"(1, '11', '55')",9157.393267840525
"(1, '11', '1')",11544.098313634531
