,Cluster,driver_type,driver
0,0,Driver 1,40
1,1,Driver 1,1
2,2,Driver 1,44
3,3,Driver 1,81
4,4,Driver 1,2
5,5,Driver 1,31
6,6,Driver 1,63
7,7,Driver 1,27
8,8,Driver 1,14
9,0,Driver 2,77
10,1,Driver 2,55
11,2,Driver 2,4
12,3,Driver 2,23
13,4,Driver 2,24
14,5,Driver 2,20
15,6,Driver 2,16
16,7,Driver 2,10
17,8,Driver 2,18
