,Cluster,driver_type,driver
0,0,Driver 1,10
1,1,Driver 1,24
2,2,Driver 1,2
3,3,Driver 1,22
4,4,Driver 1,20
5,5,Driver 1,1
6,6,Driver 1,23
7,7,Driver 1,55
8,8,Driver 1,31
9,9,Driver 1,18
10,0,Driver 2,11
11,1,Driver 2,27
12,2,Driver 2,16
13,3,Driver 2,63
14,4,Driver 2,21
15,5,Driver 2,44
16,6,Driver 2,81
17,7,Driver 2,77
18,8,Driver 2,14
19,9,Driver 2,4
