,Cluster,driver_type,driver
0,0,Driver 1,23
1,1,Driver 1,44
2,2,Driver 1,11
3,3,Driver 1,18
4,4,Driver 1,31
5,5,Driver 1,2
6,6,Driver 1,55
7,7,Driver 1,1
8,8,Driver 1,24
9,9,Driver 1,77
10,0,Driver 2,16
11,1,Driver 2,27
12,2,Driver 2,14
13,3,Driver 2,10
14,4,Driver 2,21
15,5,Driver 2,22
16,6,Driver 2,4
17,7,Driver 2,81
18,8,Driver 2,20
19,9,Driver 2,63
