driver-pairs,distance
"(1, '18', '4')",8975.616805086287
"(1, '18', '40')",13899.831328812777
"(1, '18', '44')",13472.604768892143
"(1, '18', '20')",3109.561836988296
"(1, '18', '55')",12193.94989897209
"(1, '18', '1')",10397.644367046461
"(1, '18', '14')",10908.524223750355
"(1, '18', '31')",11828.447410752167
"(1, '18', '11')",11193.075258099394
"(1, '18', '27')",12147.6273193429
"(1, '18', '77')",12202.089327517462
"(1, '18', '2')",10662.814271063537
"(1, '18', '63')",12613.358690232826
"(1, '18', '10')",8494.49631414108
"(1, '18', '24')",8481.04197537141
"(1, '18', '23')",11690.73578823462
"(1, '18', '16')",9518.18153995338
"(1, '18', '81')",12862.015587799558
"(1, '4', '18')",2431.191087161765
"(1, '4', '40')",2337.700821330397
"(1, '4', '44')",4788.057058871229
"(1, '4', '20')",2553.678957399084
"(1, '4', '55')",10241.75588713434
"(1, '4', '1')",8434.331850630617
"(1, '4', '14')",2760.80377804023
"(1, '4', '31')",2809.8141365064525
"(1, '4', '11')",14090.39269263548
"(1, '4', '27')",2959.2102570384905
"(1, '4', '77')",3032.7555200368815
"(1, '4', '2')",3295.242322519969
"(1, '4', '63')",6562.708660062821
"(1, '4', '10')",2897.6503405354324
"(1, '4', '24')",3498.830156059121
"(1, '4', '23')",7116.279181690802
"(1, '4', '16')",5195.602416610727
"(1, '4', '81')",18043.854300785635
"(1, '40', '18')",1828.0662922099857
"(1, '40', '4')",13507.85158334892
"(1, '40', '44')",15319.42289048378
"(1, '40', '20')",2337.976630941237
"(1, '40', '55')",6900.09501222762
"(1, '40', '1')",8043.77805021285
"(1, '40', '14')",7163.32131972835
"(1, '40', '31')",1963.6144427111285
"(1, '40', '11')",6810.794057264764
"(1, '40', '27')",1658.7578209264889
"(1, '40', '77')",1040.1296592159447
"(1, '40', '2')",1737.3398060646666
"(1, '40', '63')",5543.477973676669
"(1, '40', '10')",1979.2128099225404
"(1, '40', '24')",1811.6095656920954
"(1, '40', '23')",10730.2272113398
"(1, '40', '16')",6783.089451758939
"(1, '40', '81')",14004.192460381977
"(1, '44', '18')",2329.8320180092987
"(1, '44', '4')",2346.6806833650753
"(1, '44', '40')",3618.478839097239
"(1, '44', '20')",2690.4199719746725
"(1, '44', '55')",8972.875623638494
"(1, '44', '1')",8781.786765315921
"(1, '44', '14')",3060.26478397743
"(1, '44', '31')",2345.1992546108477
"(1, '44', '11')",12757.359499018405
"(1, '44', '27')",2941.31134326015
"(1, '44', '77')",3235.7288741099765
